device_id;client_id;created_at;license_id;image_frame;prob;tags
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.3;
device_id;client_id;2023-02-07 14:56:49.386042;license_id;image_frame;0.2;low_prob
